Year,Scientific Name,Country,Conservation Status
2012,Crocodylus moreletii,Guatemala,Least Concern
2024,Crocodylus acutus,Colombia,Vulnerable
2012,Crocodylus intermedius,Venezuela,Critically Endangered
2015,Mecistops cataphractus,Sierra Leone,Critically Endangered
2019,Crocodylus novaeguineae,Indonesia,Least Concern
2009,Mecistops cataphractus,Sierra Leone,Critically Endangered
2011,Crocodylus porosus,Papua New Guinea,Least Concern
2018,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2019,Mecistops cataphractus,Guinea,Critically Endangered
2006,Crocodylus intermedius,Venezuela,Critically Endangered
2010,Mecistops cataphractus,Nigeria,Critically Endangered
2015,Crocodylus porosus,Indonesia,Least Concern
2005,Crocodylus novaeguineae,Indonesia,Least Concern
2015,Crocodylus siamensis,Vietnam,Critically Endangered
2014,Osteolaemus tetraspis,Cameroon,Vulnerable
2015,Crocodylus niloticus,Kenya,Least Concern
2009,Crocodylus johnstoni,Australia,Least Concern
2005,Crocodylus rhombifer,Cuba,Critically Endangered
2024,Crocodylus acutus,Venezuela,Vulnerable
2014,Mecistops leptorhynchus,Cameroon,Endangered
2006,Crocodylus porosus,Philippines,Least Concern
2011,Mecistops leptorhynchus,Republic Of Congo,Endangered
2005,Mecistops cataphractus,Nigeria,Critically Endangered
2009,Crocodylus niloticus,Egypt,Least Concern
2023,Crocodylus moreletii,Guatemala,Least Concern
2013,Crocodylus suchus,Mali,Least Concern
2019,Mecistops leptorhynchus,Gabon,Endangered
2018,Crocodylus porosus,Malaysia,Least Concern
2017,Crocodylus moreletii,Guatemala,Least Concern
2022,Crocodylus suchus,Niger,Least Concern
2011,Crocodylus mindorensis,Philippines,Critically Endangered
2015,Crocodylus moreletii,Guatemala,Least Concern
2017,Mecistops leptorhynchus,Republic Of Congo,Endangered
2021,Osteolaemus tetraspis,Sierra Leone,Vulnerable
2025,Crocodylus palustris,Pakistan,Vulnerable
2017,Crocodylus acutus,Costa Rica,Vulnerable
2009,Crocodylus halli,Papua New Guinea,Least Concern
2018,Crocodylus moreletii,Guatemala,Least Concern
2013,Crocodylus niloticus,Kenya,Least Concern
2018,Crocodylus acutus,Mexico,Vulnerable
2011,Crocodylus intermedius,Colombia,Critically Endangered
2016,Crocodylus palustris,Pakistan,Vulnerable
2025,Crocodylus suchus,Mali,Least Concern
2006,Crocodylus suchus,Chad,Least Concern
2022,Crocodylus rhombifer,Cuba,Critically Endangered
2006,Crocodylus novaeguineae,Indonesia,Least Concern
2013,Crocodylus porosus,Papua New Guinea,Least Concern
2019,Crocodylus mindorensis,Philippines,Critically Endangered
2006,Mecistops cataphractus,Liberia,Critically Endangered
2011,Crocodylus suchus,Senegal,Least Concern
2020,Crocodylus rhombifer,Cuba,Critically Endangered
2024,Crocodylus halli,Papua New Guinea,Least Concern
2014,Crocodylus suchus,Niger,Least Concern
2013,Mecistops cataphractus,Nigeria,Critically Endangered
2006,Crocodylus johnstoni,Australia,Least Concern
2025,Crocodylus moreletii,Mexico,Least Concern
2019,Crocodylus niloticus,Tanzania,Least Concern
2009,Crocodylus porosus,India,Least Concern
2005,Crocodylus johnstoni,Australia,Least Concern
2017,Crocodylus johnstoni,Australia,Least Concern
2021,Crocodylus porosus,Indonesia,Least Concern
2011,Crocodylus porosus,Australia,Least Concern
2021,Crocodylus suchus,Chad,Least Concern
2008,Crocodylus intermedius,Colombia,Critically Endangered
2006,Crocodylus porosus,Malaysia,Least Concern
2017,Osteolaemus tetraspis,Guinea,Vulnerable
2007,Crocodylus halli,Papua New Guinea,Least Concern
2020,Osteolaemus tetraspis,Ivory Coast,Vulnerable
2015,Crocodylus palustris,Iran,Vulnerable
2007,Crocodylus acutus,Costa Rica,Vulnerable
2023,Mecistops cataphractus,Guinea,Critically Endangered
2011,Crocodylus intermedius,Venezuela,Critically Endangered
2005,Crocodylus acutus,Mexico,Vulnerable
2019,Crocodylus siamensis,Laos,Critically Endangered
2012,Crocodylus suchus,Senegal,Least Concern
2024,Crocodylus rhombifer,Cuba,Critically Endangered
2016,Crocodylus novaeguineae,Indonesia,Least Concern
2013,Crocodylus niloticus,Nigeria,Least Concern
2017,Crocodylus suchus,Niger,Least Concern
2018,Osteolaemus tetraspis,Ghana,Vulnerable
2015,Crocodylus novaeguineae,Indonesia,Least Concern
2005,Crocodylus halli,Papua New Guinea,Least Concern
2007,Crocodylus porosus,India,Least Concern
2008,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2023,Mecistops leptorhynchus,Republic Of Congo,Endangered
2018,Crocodylus suchus,Senegal,Least Concern
2005,Crocodylus palustris,Iran,Vulnerable
2021,Mecistops leptorhynchus,Republic Of Congo,Endangered
2009,Crocodylus moreletii,Mexico,Least Concern
2008,Mecistops cataphractus,Ghana,Critically Endangered
2022,Crocodylus siamensis,Laos,Critically Endangered
2021,Crocodylus johnstoni,Australia,Least Concern
2009,Osteolaemus tetraspis,Ghana,Vulnerable
2025,Crocodylus niloticus,South Africa,Least Concern
2021,Crocodylus moreletii,Guatemala,Least Concern
2010,Crocodylus suchus,Mauritania,Least Concern
2008,Crocodylus porosus,Philippines,Least Concern
2017,Mecistops cataphractus,Nigeria,Critically Endangered
2025,Crocodylus siamensis,Cambodia,Critically Endangered
2013,Crocodylus moreletii,Belize,Least Concern
2008,Osteolaemus tetraspis,Guinea,Vulnerable
2025,Crocodylus porosus,Papua New Guinea,Least Concern
2023,Crocodylus niloticus,Uganda,Least Concern
2010,Osteolaemus tetraspis,Cameroon,Vulnerable
2019,Crocodylus acutus,Costa Rica,Vulnerable
2025,Crocodylus porosus,Indonesia,Least Concern
2018,Crocodylus acutus,United States,Vulnerable
2013,Crocodylus johnstoni,Australia,Least Concern
2007,Crocodylus acutus,Mexico,Vulnerable
2021,Crocodylus rhombifer,Cuba,Critically Endangered
2008,Crocodylus moreletii,Belize,Least Concern
2013,Mecistops leptorhynchus,Cameroon,Endangered
2020,Crocodylus intermedius,Colombia,Critically Endangered
2013,Crocodylus palustris,Iran,Vulnerable
2008,Crocodylus porosus,Malaysia,Least Concern
2013,Crocodylus novaeguineae,Indonesia,Least Concern
2012,Crocodylus rhombifer,Cuba,Critically Endangered
2019,Mecistops leptorhynchus,Cameroon,Endangered
2013,Osteolaemus tetraspis,Guinea,Vulnerable
2007,Crocodylus moreletii,Belize,Least Concern
2013,Crocodylus intermedius,Venezuela,Critically Endangered
2016,Crocodylus rhombifer,Cuba,Critically Endangered
2022,Osteolaemus tetraspis,Cameroon,Vulnerable
2020,Osteolaemus tetraspis,Sierra Leone,Vulnerable
2022,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2007,Crocodylus siamensis,Vietnam,Critically Endangered
2017,Crocodylus acutus,Colombia,Vulnerable
2020,Crocodylus porosus,India,Least Concern
2014,Crocodylus siamensis,Cambodia,Critically Endangered
2020,Crocodylus niloticus,Uganda,Least Concern
2019,Crocodylus palustris,Sri Lanka,Vulnerable
2020,Crocodylus niloticus,South Africa,Least Concern
2011,Crocodylus moreletii,Guatemala,Least Concern
2016,Crocodylus porosus,Australia,Least Concern
2006,Crocodylus rhombifer,Cuba,Critically Endangered
2020,Crocodylus porosus,Papua New Guinea,Least Concern
2012,Mecistops leptorhynchus,Gabon,Endangered
2010,Crocodylus acutus,Mexico,Vulnerable
2017,Osteolaemus tetraspis,Cameroon,Vulnerable
2023,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2018,Mecistops cataphractus,Sierra Leone,Critically Endangered
2024,Mecistops leptorhynchus,Republic Of Congo,Endangered
2005,Crocodylus mindorensis,Philippines,Critically Endangered
2011,Crocodylus novaeguineae,Indonesia,Least Concern
2008,Crocodylus acutus,Mexico,Vulnerable
2007,Crocodylus suchus,Chad,Least Concern
2009,Crocodylus moreletii,Guatemala,Least Concern
2016,Crocodylus acutus,Mexico,Vulnerable
2010,Crocodylus intermedius,Colombia,Critically Endangered
2023,Mecistops leptorhynchus,Gabon,Endangered
2023,Crocodylus novaeguineae,Indonesia,Least Concern
2020,Crocodylus johnstoni,Australia,Least Concern
2024,Crocodylus suchus,Sudan,Least Concern
2013,Mecistops cataphractus,Ivory Coast,Critically Endangered
2012,Crocodylus acutus,Venezuela,Vulnerable
2015,Crocodylus moreletii,Mexico,Least Concern
2007,Crocodylus suchus,Mali,Least Concern
2018,Crocodylus johnstoni,Australia,Least Concern
2025,Crocodylus intermedius,Venezuela,Critically Endangered
2013,Crocodylus siamensis,Laos,Critically Endangered
2014,Crocodylus porosus,Indonesia,Least Concern
2016,Crocodylus acutus,Cuba,Vulnerable
2023,Osteolaemus tetraspis,Guinea,Vulnerable
2005,Mecistops leptorhynchus,Gabon,Endangered
2015,Crocodylus mindorensis,Philippines,Critically Endangered
2010,Crocodylus niloticus,Uganda,Least Concern
2011,Osteolaemus tetraspis,Liberia,Vulnerable
2011,Crocodylus acutus,Cuba,Vulnerable
2005,Crocodylus palustris,Pakistan,Vulnerable
2006,Crocodylus palustris,Iran,Vulnerable
2009,Crocodylus mindorensis,Philippines,Critically Endangered
2009,Crocodylus rhombifer,Cuba,Critically Endangered
2025,Crocodylus acutus,Costa Rica,Vulnerable
2011,Crocodylus niloticus,Tanzania,Least Concern
2009,Osteolaemus tetraspis,Cameroon,Vulnerable
2014,Crocodylus porosus,Malaysia,Least Concern
2007,Crocodylus siamensis,Cambodia,Critically Endangered
2025,Crocodylus mindorensis,Philippines,Critically Endangered
2010,Crocodylus niloticus,South Africa,Least Concern
2021,Mecistops cataphractus,Guinea,Critically Endangered
2007,Crocodylus niloticus,Tanzania,Least Concern
2024,Crocodylus moreletii,Mexico,Least Concern
2018,Crocodylus porosus,Australia,Least Concern
2016,Mecistops leptorhynchus,Republic Of Congo,Endangered
2025,Osteolaemus tetraspis,Ghana,Vulnerable
2009,Crocodylus intermedius,Colombia,Critically Endangered
2014,Crocodylus acutus,Colombia,Vulnerable
2012,Crocodylus novaeguineae,Indonesia,Least Concern
2016,Crocodylus mindorensis,Philippines,Critically Endangered
2016,Crocodylus siamensis,Laos,Critically Endangered
2019,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2021,Crocodylus novaeguineae,Indonesia,Least Concern
2023,Crocodylus johnstoni,Australia,Least Concern
2006,Mecistops leptorhynchus,Republic Of Congo,Endangered
2013,Mecistops cataphractus,Liberia,Critically Endangered
2008,Osteolaemus tetraspis,Ghana,Vulnerable
2014,Crocodylus niloticus,South Africa,Least Concern
2024,Crocodylus suchus,Mali,Least Concern
2012,Crocodylus porosus,India,Least Concern
2015,Crocodylus rhombifer,Cuba,Critically Endangered
2011,Crocodylus siamensis,Cambodia,Critically Endangered
2012,Mecistops leptorhynchus,Cameroon,Endangered
2019,Crocodylus siamensis,Cambodia,Critically Endangered
2017,Crocodylus halli,Papua New Guinea,Least Concern
2008,Crocodylus novaeguineae,Indonesia,Least Concern
2015,Crocodylus halli,Papua New Guinea,Least Concern
2010,Crocodylus rhombifer,Cuba,Critically Endangered
2019,Mecistops leptorhynchus,Republic Of Congo,Endangered
2021,Crocodylus porosus,Malaysia,Least Concern
2018,Crocodylus mindorensis,Philippines,Critically Endangered
2020,Mecistops cataphractus,Ivory Coast,Critically Endangered
2017,Crocodylus intermedius,Venezuela,Critically Endangered
2016,Crocodylus siamensis,Cambodia,Critically Endangered
2013,Crocodylus mindorensis,Philippines,Critically Endangered
2006,Crocodylus palustris,Sri Lanka,Vulnerable
2020,Crocodylus intermedius,Venezuela,Critically Endangered
2020,Mecistops leptorhynchus,Republic Of Congo,Endangered
2020,Crocodylus porosus,Australia,Least Concern
2009,Crocodylus suchus,Chad,Least Concern
2023,Crocodylus siamensis,Cambodia,Critically Endangered
2017,Crocodylus siamensis,Thailand,Critically Endangered
2011,Crocodylus acutus,Colombia,Vulnerable
2017,Mecistops cataphractus,Ivory Coast,Critically Endangered
2011,Crocodylus palustris,Pakistan,Vulnerable
2014,Mecistops leptorhynchus,Republic Of Congo,Endangered
2023,Crocodylus palustris,Nepal,Vulnerable
2020,Crocodylus siamensis,Vietnam,Critically Endangered
2008,Crocodylus niloticus,Kenya,Least Concern
2021,Mecistops leptorhynchus,Gabon,Endangered
2024,Crocodylus intermedius,Venezuela,Critically Endangered
2014,Crocodylus novaeguineae,Indonesia,Least Concern
2025,Osteolaemus tetraspis,Sierra Leone,Vulnerable
2016,Mecistops cataphractus,Guinea,Critically Endangered
2025,Crocodylus novaeguineae,Indonesia,Least Concern
2016,Mecistops cataphractus,Ghana,Critically Endangered
2025,Crocodylus porosus,India,Least Concern
2005,Mecistops leptorhynchus,Republic Of Congo,Endangered
2011,Crocodylus porosus,Philippines,Least Concern
2015,Crocodylus johnstoni,Australia,Least Concern
2020,Crocodylus mindorensis,Philippines,Critically Endangered
2008,Crocodylus halli,Papua New Guinea,Least Concern
2019,Osteolaemus tetraspis,Liberia,Vulnerable
2015,Crocodylus niloticus,Sudan,Least Concern
2012,Crocodylus mindorensis,Philippines,Critically Endangered
2012,Crocodylus siamensis,Vietnam,Critically Endangered
2025,Crocodylus acutus,Venezuela,Vulnerable
2018,Mecistops cataphractus,Liberia,Critically Endangered
2019,Crocodylus palustris,Nepal,Vulnerable
2009,Mecistops leptorhynchus,Republic Of Congo,Endangered
2016,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2016,Crocodylus johnstoni,Australia,Least Concern
2018,Crocodylus moreletii,Mexico,Least Concern
2017,Crocodylus palustris,Sri Lanka,Vulnerable
2015,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2018,Crocodylus halli,Papua New Guinea,Least Concern
2005,Crocodylus porosus,Papua New Guinea,Least Concern
2007,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2012,Mecistops cataphractus,Ivory Coast,Critically Endangered
2012,Osteolaemus tetraspis,Ivory Coast,Vulnerable
2018,Crocodylus novaeguineae,Indonesia,Least Concern
2013,Crocodylus moreletii,Mexico,Least Concern
2013,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2008,Crocodylus acutus,Colombia,Vulnerable
2007,Mecistops cataphractus,Ghana,Critically Endangered
2024,Crocodylus suchus,Niger,Least Concern
2023,Crocodylus rhombifer,Cuba,Critically Endangered
2025,Crocodylus palustris,Iran,Vulnerable
2015,Crocodylus porosus,Philippines,Least Concern
2023,Crocodylus intermedius,Colombia,Critically Endangered
2020,Crocodylus moreletii,Mexico,Least Concern
2022,Mecistops cataphractus,Liberia,Critically Endangered
2014,Crocodylus acutus,Mexico,Vulnerable
2021,Crocodylus suchus,Niger,Least Concern
2025,Crocodylus acutus,Colombia,Vulnerable
2007,Mecistops leptorhynchus,Republic Of Congo,Endangered
2005,Crocodylus niloticus,Kenya,Least Concern
2021,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2020,Crocodylus acutus,Colombia,Vulnerable
2020,Crocodylus palustris,Iran,Vulnerable
2020,Mecistops leptorhynchus,Cameroon,Endangered
2011,Mecistops leptorhynchus,Cameroon,Endangered
2005,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2021,Crocodylus porosus,Papua New Guinea,Least Concern
2021,Crocodylus halli,Papua New Guinea,Least Concern
2011,Crocodylus rhombifer,Cuba,Critically Endangered
2020,Crocodylus halli,Papua New Guinea,Least Concern
2007,Crocodylus acutus,Cuba,Vulnerable
2025,Crocodylus rhombifer,Cuba,Critically Endangered
2008,Osteolaemus tetraspis,Liberia,Vulnerable
2022,Crocodylus intermedius,Venezuela,Critically Endangered
2016,Mecistops leptorhynchus,Cameroon,Endangered
2006,Crocodylus niloticus,Egypt,Least Concern
2012,Crocodylus johnstoni,Australia,Least Concern
2009,Crocodylus acutus,Cuba,Vulnerable
2020,Crocodylus moreletii,Guatemala,Least Concern
2012,Crocodylus moreletii,Mexico,Least Concern
2022,Crocodylus acutus,Costa Rica,Vulnerable
2020,Crocodylus niloticus,Sudan,Least Concern
2009,Mecistops leptorhynchus,Cameroon,Endangered
2022,Crocodylus intermedius,Colombia,Critically Endangered
2022,Mecistops leptorhynchus,Cameroon,Endangered
2024,Crocodylus suchus,Senegal,Least Concern
2019,Crocodylus halli,Papua New Guinea,Least Concern
2014,Mecistops leptorhynchus,Gabon,Endangered
2019,Crocodylus intermedius,Colombia,Critically Endangered
2023,Osteolaemus tetraspis,Cameroon,Vulnerable
2023,Crocodylus acutus,Cuba,Vulnerable
2022,Crocodylus suchus,Mauritania,Least Concern
2009,Crocodylus novaeguineae,Indonesia,Least Concern
2006,Crocodylus niloticus,South Africa,Least Concern
2006,Crocodylus niloticus,Kenya,Least Concern
2012,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2010,Crocodylus porosus,India,Least Concern
2021,Mecistops cataphractus,Liberia,Critically Endangered
2017,Crocodylus siamensis,Vietnam,Critically Endangered
2005,Crocodylus niloticus,Tanzania,Least Concern
2012,Crocodylus halli,Papua New Guinea,Least Concern
2018,Crocodylus suchus,Mauritania,Least Concern
2019,Crocodylus porosus,Malaysia,Least Concern
2016,Mecistops cataphractus,Ivory Coast,Critically Endangered
2009,Crocodylus intermedius,Venezuela,Critically Endangered
2016,Osteolaemus tetraspis,Ghana,Vulnerable
2020,Crocodylus suchus,Senegal,Least Concern
2013,Crocodylus rhombifer,Cuba,Critically Endangered
2007,Osteolaemus tetraspis,Ghana,Vulnerable
2014,Crocodylus porosus,Philippines,Least Concern
2022,Crocodylus siamensis,Thailand,Critically Endangered
2025,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2024,Mecistops cataphractus,Liberia,Critically Endangered
2010,Crocodylus palustris,Nepal,Vulnerable
2005,Crocodylus intermedius,Venezuela,Critically Endangered
2022,Crocodylus porosus,Papua New Guinea,Least Concern
2006,Crocodylus porosus,India,Least Concern
2021,Crocodylus mindorensis,Philippines,Critically Endangered
2006,Crocodylus niloticus,Nigeria,Least Concern
2005,Crocodylus moreletii,Mexico,Least Concern
2010,Crocodylus siamensis,Vietnam,Critically Endangered
2020,Crocodylus acutus,Venezuela,Vulnerable
2020,Mecistops cataphractus,Ghana,Critically Endangered
2018,Mecistops leptorhynchus,Gabon,Endangered
2013,Crocodylus suchus,Chad,Least Concern
2007,Osteolaemus tetraspis,Liberia,Vulnerable
2010,Crocodylus halli,Papua New Guinea,Least Concern
2005,Crocodylus niloticus,Uganda,Least Concern
2016,Crocodylus suchus,Chad,Least Concern
2010,Crocodylus porosus,Philippines,Least Concern
2013,Crocodylus acutus,Mexico,Vulnerable
2019,Crocodylus johnstoni,Australia,Least Concern
2012,Crocodylus palustris,Sri Lanka,Vulnerable
2023,Crocodylus mindorensis,Philippines,Critically Endangered
2017,Crocodylus novaeguineae,Indonesia,Least Concern
2007,Osteolaemus tetraspis,Sierra Leone,Vulnerable
2006,Mecistops leptorhynchus,Gabon,Endangered
2007,Crocodylus palustris,Sri Lanka,Vulnerable
2019,Crocodylus palustris,Iran,Vulnerable
2016,Crocodylus intermedius,Venezuela,Critically Endangered
2008,Crocodylus niloticus,Tanzania,Least Concern
2024,Crocodylus mindorensis,Philippines,Critically Endangered
2014,Crocodylus suchus,Mali,Least Concern
2010,Crocodylus suchus,Sudan,Least Concern
2016,Crocodylus niloticus,Uganda,Least Concern
2014,Crocodylus rhombifer,Cuba,Critically Endangered
2025,Crocodylus moreletii,Belize,Least Concern
2005,Mecistops leptorhynchus,Cameroon,Endangered
2021,Crocodylus moreletii,Belize,Least Concern
2021,Crocodylus suchus,Mali,Least Concern
2008,Osteolaemus tetraspis,Cameroon,Vulnerable
2007,Crocodylus suchus,Niger,Least Concern
2019,Crocodylus suchus,Mali,Least Concern
2014,Crocodylus suchus,Senegal,Least Concern
2017,Crocodylus intermedius,Colombia,Critically Endangered
2009,Mecistops cataphractus,Nigeria,Critically Endangered
2016,Osteolaemus tetraspis,Guinea,Vulnerable
2017,Osteolaemus tetraspis,Liberia,Vulnerable
2018,Crocodylus intermedius,Colombia,Critically Endangered
2025,Crocodylus siamensis,Laos,Critically Endangered
2007,Crocodylus niloticus,South Africa,Least Concern
2020,Crocodylus niloticus,Nigeria,Least Concern
2011,Crocodylus suchus,Niger,Least Concern
2010,Crocodylus porosus,Australia,Least Concern
2020,Crocodylus acutus,Cuba,Vulnerable
2014,Crocodylus moreletii,Guatemala,Least Concern
2007,Mecistops cataphractus,Sierra Leone,Critically Endangered
2006,Crocodylus siamensis,Vietnam,Critically Endangered
2005,Osteolaemus tetraspis,Ghana,Vulnerable
2020,Crocodylus porosus,Philippines,Least Concern
2007,Crocodylus mindorensis,Philippines,Critically Endangered
2013,Crocodylus acutus,Colombia,Vulnerable
2022,Crocodylus niloticus,Kenya,Least Concern
2024,Crocodylus moreletii,Guatemala,Least Concern
2022,Crocodylus johnstoni,Australia,Least Concern
2007,Crocodylus novaeguineae,Indonesia,Least Concern
2022,Crocodylus suchus,Senegal,Least Concern
2025,Crocodylus halli,Papua New Guinea,Least Concern
2015,Crocodylus palustris,Pakistan,Vulnerable
2024,Crocodylus niloticus,South Africa,Least Concern
2023,Crocodylus palustris,Pakistan,Vulnerable
2010,Crocodylus moreletii,Belize,Least Concern
2008,Crocodylus rhombifer,Cuba,Critically Endangered
2024,Crocodylus johnstoni,Australia,Least Concern
2010,Crocodylus palustris,Pakistan,Vulnerable
2023,Crocodylus acutus,Mexico,Vulnerable
2019,Mecistops cataphractus,Ivory Coast,Critically Endangered
2017,Crocodylus mindorensis,Philippines,Critically Endangered
2007,Crocodylus niloticus,Uganda,Least Concern
2011,Crocodylus moreletii,Belize,Least Concern
2014,Mecistops cataphractus,Nigeria,Critically Endangered
2006,Crocodylus mindorensis,Philippines,Critically Endangered
2025,Crocodylus acutus,Cuba,Vulnerable
2022,Crocodylus porosus,India,Least Concern
2012,Crocodylus acutus,Cuba,Vulnerable
2017,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2012,Crocodylus niloticus,Sudan,Least Concern
2023,Crocodylus acutus,Costa Rica,Vulnerable
2005,Crocodylus palustris,India,Vulnerable
2006,Crocodylus palustris,India,Vulnerable
2011,Crocodylus siamensis,Vietnam,Critically Endangered
2023,Crocodylus intermedius,Venezuela,Critically Endangered
2013,Osteolaemus tetraspis,Ivory Coast,Vulnerable
2011,Crocodylus johnstoni,Australia,Least Concern
2009,Crocodylus palustris,India,Vulnerable
2005,Mecistops cataphractus,Sierra Leone,Critically Endangered
2019,Crocodylus porosus,Philippines,Least Concern
2019,Crocodylus siamensis,Vietnam,Critically Endangered
2008,Crocodylus moreletii,Guatemala,Least Concern
2006,Osteolaemus tetraspis,Sierra Leone,Vulnerable
2020,Osteolaemus tetraspis,Liberia,Vulnerable
2011,Osteolaemus tetraspis,Cameroon,Vulnerable
2010,Osteolaemus tetraspis,Ghana,Vulnerable
2011,Crocodylus suchus,Mali,Least Concern
2009,Crocodylus porosus,Indonesia,Least Concern
2011,Crocodylus acutus,United States,Vulnerable
2010,Crocodylus acutus,Cuba,Vulnerable
2022,Osteolaemus tetraspis,Ivory Coast,Vulnerable
2019,Crocodylus porosus,Australia,Least Concern
2006,Crocodylus siamensis,Laos,Critically Endangered
2014,Crocodylus halli,Papua New Guinea,Least Concern
2011,Crocodylus palustris,Nepal,Vulnerable
2010,Crocodylus acutus,Colombia,Vulnerable
2017,Crocodylus palustris,India,Vulnerable
2014,Crocodylus moreletii,Belize,Least Concern
2021,Crocodylus acutus,Mexico,Vulnerable
2015,Osteolaemus tetraspis,Liberia,Vulnerable
2015,Mecistops cataphractus,Ghana,Critically Endangered
2008,Crocodylus moreletii,Mexico,Least Concern
2010,Osteolaemus tetraspis,Sierra Leone,Vulnerable
2024,Crocodylus acutus,Costa Rica,Vulnerable
2020,Crocodylus niloticus,Tanzania,Least Concern
2011,Mecistops cataphractus,Ivory Coast,Critically Endangered
2013,Crocodylus niloticus,Uganda,Least Concern
2013,Crocodylus halli,Papua New Guinea,Least Concern
2010,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2012,Mecistops leptorhynchus,Republic Of Congo,Endangered
2025,Osteolaemus tetraspis,Ivory Coast,Vulnerable
2008,Crocodylus niloticus,Nigeria,Least Concern
2025,Crocodylus intermedius,Colombia,Critically Endangered
2021,Mecistops leptorhynchus,Cameroon,Endangered
2022,Crocodylus acutus,Mexico,Vulnerable
2021,Mecistops cataphractus,Nigeria,Critically Endangered
2024,Crocodylus porosus,India,Least Concern
2023,Crocodylus siamensis,Thailand,Critically Endangered
2018,Crocodylus rhombifer,Cuba,Critically Endangered
2018,Mecistops leptorhynchus,Republic Of Congo,Endangered
2008,Crocodylus palustris,Nepal,Vulnerable
2023,Mecistops leptorhynchus,Cameroon,Endangered
2007,Crocodylus siamensis,Thailand,Critically Endangered
2017,Crocodylus porosus,Indonesia,Least Concern
2023,Crocodylus acutus,Venezuela,Vulnerable
2025,Crocodylus acutus,United States,Vulnerable
2007,Crocodylus suchus,Mauritania,Least Concern
2007,Crocodylus siamensis,Laos,Critically Endangered
2007,Crocodylus johnstoni,Australia,Least Concern
2025,Crocodylus moreletii,Guatemala,Least Concern
2008,Mecistops cataphractus,Nigeria,Critically Endangered
2021,Crocodylus palustris,India,Vulnerable
2012,Crocodylus palustris,Pakistan,Vulnerable
2017,Crocodylus porosus,Malaysia,Least Concern
2018,Mecistops cataphractus,Guinea,Critically Endangered
2016,Osteolaemus tetraspis,Liberia,Vulnerable
2025,Mecistops leptorhynchus,Cameroon,Endangered
2017,Crocodylus porosus,Australia,Least Concern
2006,Crocodylus palustris,Pakistan,Vulnerable
2021,Mecistops cataphractus,Sierra Leone,Critically Endangered
2022,Mecistops cataphractus,Nigeria,Critically Endangered
2015,Crocodylus palustris,Sri Lanka,Vulnerable
2024,Crocodylus acutus,Cuba,Vulnerable
2008,Mecistops cataphractus,Guinea,Critically Endangered
